CleanRainfall,CumDaily,CumHourly,CumYearly,DateData,DateTime,District,HeavyThresholdLevel,Latitude,LightThresholdLevel,Longitude,MainBasin,ModerateThresholdLevel,NewRainfallId,NewStationId,OldRainfallId,OldStationId,RainfallStationName,RainfallStatus,RawRainfall,RtuId,SeverityLevel,State,StationCode,StationId,SubBasin,TimeData,UpdatedBy,UpdatedDate,VeryHeavyThresholdLevel
0.0,           6.5,     0.5,      863.5, 23/2/2023,23/2/2023-8:45:00 PM,Sepang,   60,   2.691652,    10,           101.682785,Sungai Sepang,     30,                 ,            BSPG0016,   2616137,      2616137,        ,                 ON,            6.5,         ,  No Rainfall ,Selangor  ,AGROTEK ,AGROTEKSEPANG,Sg. Sepang,20:45:00,ETL_Email,23/2/2023-9:00:23 PM,90
0.0,6.5,0.5,863.5,23/2/2023,23/2/2023-8:30:00 PM,Sepang,60,2.691652,10,101.682785,Sungai Sepang,30,,BSPG0016,2616137,2616137,,ON,6.5,,No Rainfall ,Selangor  ,AGROTEK ,AGROTEKSEPANG,Sg. Sepang,20:30:00,ETL_Email,23/2/2023-8:50:30 PM,90
0.0,6.5,0.5,863.5,23/2/2023,23/2/2023-8:15:00 PM,Sepang,60,2.691652,10,101.682785,Sungai Sepang,30,,BSPG0016,2616137,2616137,,ON,6.5,,No Rainfall ,Selangor  ,AGROTEK ,AGROTEKSEPANG,Sg. Sepang,20:15:00,ETL_Email,23/2/2023-8:35:27 PM,90
0.5,6.5,0.5,863.5,23/2/2023,23/2/2023-8:00:00 PM,Sepang,60,2.691652,10,101.682785,Sungai Sepang,30,,BSPG0016,2616137,2616137,,ON,6.5,,No Rainfall ,Selangor  ,AGROTEK ,AGROTEKSEPANG,Sg. Sepang,20:00:00,ETL_Email,23/2/2023-8:20:31 PM,90
0.0,6.0,0.5,863.0,23/2/2023,23/2/2023-7:45:00 PM,Sepang,60,2.691652,10,101.682785,Sungai Sepang,30,,BSPG0016,2616137,2616137,,ON,6.0,,No Rainfall ,Selangor  ,AGROTEK ,AGROTEKSEPANG,Sg. Sepang,19:45:00,ETL_Email,23/2/2023-8:05:27 PM,90
0.0,6.0,0.5,863.0,23/2/2023,23/2/2023-7:30:00 PM,Sepang,60,2.691652,10,101.682785,Sungai Sepang,30,,BSPG0016,2616137,2616137,,ON,6.0,,No Rainfall ,Selangor  ,AGROTEK ,AGROTEKSEPANG,Sg. Sepang,19:30:00,ETL_Email,23/2/2023-7:50:25 PM,90
0.0,6.0,0.5,863.0,23/2/2023,23/2/2023-7:15:00 PM,Sepang,60,2.691652,10,101.682785,Sungai Sepang,30,,BSPG0016,2616137,2616137,,ON,6.0,,No Rainfall ,Selangor  ,AGROTEK ,AGROTEKSEPANG,Sg. Sepang,19:15:00,ETL_Email,23/2/2023-7:35:25 PM,90
0.5,6.0,1.0,863.0,23/2/2023,23/2/2023-7:00:00 PM,Sepang,60,2.691652,10,101.682785,Sungai Sepang,30,,BSPG0016,2616137,2616137,,ON,6.0,,Light  ,Selangor  ,AGROTEK ,AGROTEKSEPANG,Sg. Sepang,19:00:00,ETL_Email,23/2/2023-7:20:23 PM,90
0.0,5.5,0.5,862.5,23/2/2023,23/2/2023-6:45:00 PM,Sepang,60,2.691652,10,101.682785,Sungai Sepang,30,,BSPG0016,2616137,2616137,,ON,5.5,,Light  ,Selangor  ,AGROTEK ,AGROTEKSEPANG,Sg. Sepang,18:45:00,ETL_Email,23/2/2023-7:05:25 PM,90
0.0,5.5,0.5,862.5,23/2/2023,23/2/2023-6:30:00 PM,Sepang,60,2.691652,10,101.682785,Sungai Sepang,30,,BSPG0016,2616137,2616137,,ON,5.5,,Light  ,Selangor  ,AGROTEK ,AGROTEKSEPANG,Sg. Sepang,18:30:00,ETL_Email,23/2/2023-6:50:23 PM,90
